solvent
CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
CS(=O)(=O)C
COC=O
CC1=CC=CC=C1
COCOC
CCOC(=O)C
COCCOC(=O)OC
CCCCC1CCC(=O)O1
CC1CCC(=O)O1
CC(=O)CC(=O)OC
CC(=O)C(=O)OC
CC(=O)CCC(=O)OC
O=C1OCCC1F
O=C1CC(F)CO1
COC(=O)C(F)F
CCOC(=O)C(F)F
COB(OC)OC
N#CCCOB(OCCC#N)OCCC#N
CC(=O)OCCF
CCOC(=O)CF
C1CC(=O)OC1
C1COB(OCCOB2OCCCO2)OC1
C(C(C(F)F)(F)F)OC(C(F)F)(F)F
COC(=O)OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COC(=O)OC
COC(=O)OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COC(=O)OC
COCCCOC
CCOCC
C(F)(Cl)(Cl)Cl
COCCOCCOC
CC1CCS(=O)(=O)C1
C(Cl)Cl
CCCS(=O)(=O)C1=CC=C(C=C1)OC
COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
COCCOCCOCCOCCOC
CCOP(=O)(OCC)OCC
C(C(F)(F)F)OCC(F)(F)F
COCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCOC
COCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOC
COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC
COCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCOC
COCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOC
COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC
C(C(F)(F)F)OC(OCC(F)(F)F)OCC(F)(F)F
COCCOCCOCCOCCOCCOCCOCCOCCOC
OCCOCCOCCOCCOCCOCCOCCOCCO
COCCOCCOCCOC(=O)OCCOCCOCCOC
COCCOCCOCCOCCn1cc(COCCOCCOCCOC)nn1
COCCOCCOCCOCc1ccc(COCCOCCOCCOC)cc1
COCCOCCOCCOCc1ccccc1COCCOCCOCCOC
COCCOCCOCCNC(=O)NCCOCCOCCOC
COCCOCCOCCNC(=S)NCCOCCOCCOC
COCCOCCOCCNC(=S)OCCOCCOCCOC
COCCOCCOCCOCCSCCOCCOCCOCCOC
COCCOCCOCCOCC1COB(B2OCC(COCCOCCOCCOC)O2)O1
COCCOCCOCCOCC1COB(c2ccc(B3OCC(COCCOCCOCCOC)O3)cc2)O1
COCCOCC(F)(F)F
COCCOCC(F)(F)C(F)F
FC(F)(F)COCCOCC(F)(F)F
FC(F)C(F)(F)COCCOCC(F)(F)F
FC(F)C(F)(F)COCCOCC(F)(F)C(F)F
CCOCCOC
COCCOCCF
COCCOCC(F)F	
CCOCCOCCF
CCOCCOCC(F)F
CCOCCOCC(F)(F)F
COCCCCOC
COCC(F)(F)C(F)(F)COC
COCCO[Si](C)(C)C
COCCOCCO[Si](C)(C)C
COCCOCCOCCO[Si](C)(C)C
COCCOCCOCCOCCO[Si](C)(C)C
COCCOCCOCCOCCOCCO[Si](C)(C)C
COCCOCCOCCOCCOCCOCCOCCO[Si](C)(C)C
C[Si](C)(C)OCCOCCOCCO[Si](C)(C)C
C[Si](C)(C)OCCOCCOCCOCCO[Si](C)(C)C
CCCCCC
COCCOCCOCCC[Si](C)(F)F
COCCOCCOCCC[Si](C)(C)F
COCCOCCOCCC[Si](C)(C)C
COCCO[Si](C)(C)CCCC#N
COCCOCCO[Si](C)(C)CCCC#N
COCCOCCOCCO[Si](C)(C)CCCC#N
COCCO[Si](C)(CCC#N)OCCOC
COCCO[Si](CCC#N)(OCCOC)OCCOC
COCCOCCOCCO[Si](C)(C)CCCOCC1COC(=O)O1
C1=CC=C(C=C1)F
N#CCCCCC#N
N#CCCC(CC#N)C(F)(F)F
N#CCCOCC(F)(F)F
CCOCCC#N
N#CCC#N
N#CCCC#N
N#CCCCCCC#N
N#CCCCCCCC#N
N#CCCCCCCCCC#N
N#CCCCC#N
CCCC#N
CCC#N
C(CCC#N)CC#N
O=S1(=O)CCCC1
CS(N)(=O)=O
CN(C)S(=O)(=O)C
C(CC#N)CC#N
COCC#N
COCCC#N
C1CCC(=CC1)C#N
C1CC=C(C1)C#N
C[Si](C)(C)OCCC#N
C(CC#N)C#N
C1=CC=NC(=C1)C#N
C[N+](=O)[O-]
CCS(C)(=O)=O
CCCCS(=O)(=O)CCCC
CS(=O)(=O)C1=CC=CC=C1F
CCS(=O)(=O)C=C
COCCS(=O)(=O)C
CCS(=O)(=O)CCOC
CCS(=O)(=O)CCOCCOC
COCCS(=O)(=O)CCOC
CCS(=O)(=O)CCOCCOCCOC
CS(=O)(=O)C1CCCC1
CCS(=O)(=O)C1CCCC1
CS(=O)(=O)CC1CCCC1
CCS(=O)(=O)C1CCCCC1
CCS(=O)(=O)CC1CCCCC1
CS(=O)(=O)F
CCS(=O)(=O)C(F)(F)F
CS(=O)(=O)CCC(F)(F)F
CC(C)S(=O)(=O)C
CC(C)S(=O)(=O)C(F)(F)F
CCS(=O)(=O)C(C)C
CCCS(=O)(=O)CCC
c1ccccc1
CC(C)c1ccccc1
CCOCCOCCOCC
CCC1=CC=CC=C1
CC1=CC(=C(C=C1)C)C
CC1=CC(=CC=C1)C
CC1=CC=CC=C1C
CS(=O)(=O)CCOCC(F)(F)F
CC(C)S(=O)(=O)CCOCC(F)(F)F
O=S(=O)(CCOCC(F)(F)F)CC(F)(F)F
COS(=O)OC
CCOS(=O)OCC
